player,age,team,pos,g,gs,mp,fg,fga,fg_percent,three_points,three_pointsa,three_points_percent,two_points,two_pointsa,two_points_percent,efg_percent,ft,fta,ft_percent,orb,drb,trb,ast,stl,blk,tov,pf,pts,points_per_game,points_per_minute
Deni Avdija,25.0,POR,SF,42.0,42.0,34.9,7.9,16.8,0.471,2.3,6.4,0.356,5.6,10.4,0.542,0.539,7.9,9.8,0.807,1.0,6.0,7.1,6.9,0.8,0.6,3.9,2.7,26.0,0.6190476190476191,0.7449856733524356
Jamal Murray,28.0,DEN,PG,41.0,41.0,35.4,9.3,18.9,0.49,3.4,7.5,0.448,5.9,11.4,0.518,0.579,4.0,4.5,0.892,0.4,3.9,4.3,7.3,1.0,0.3,2.4,1.6,26.0,0.6341463414634146,0.7344632768361582
James Harden,36.0,LAC,PG,41.0,41.0,35.7,7.5,17.9,0.419,3.0,8.9,0.342,4.4,8.9,0.497,0.505,7.8,8.7,0.899,0.6,4.2,4.8,8.1,1.3,0.3,3.7,1.9,25.8,0.6292682926829268,0.7226890756302521
Devin Booker,29.0,PHO,SG,41.0,41.0,34.0,8.4,18.4,0.456,1.7,5.5,0.313,6.7,12.9,0.517,0.503,7.0,8.0,0.864,0.8,3.2,4.0,6.2,0.9,0.3,3.3,2.6,25.4,0.6195121951219512,0.7470588235294118
Michael Porter Jr.,27.0,BRK,SF,35.0,34.0,33.2,9.0,18.7,0.481,3.8,9.6,0.394,5.2,9.1,0.572,0.582,3.7,4.3,0.849,1.3,6.1,7.4,3.2,1.0,0.2,2.5,2.1,25.4,0.7257142857142856,0.7650602409638553
Cade Cunningham,24.0,DET,PG,37.0,37.0,35.5,8.8,19.4,0.451,1.9,5.9,0.321,6.9,13.5,0.508,0.5,5.9,7.2,0.823,1.0,4.8,5.8,9.7,1.5,0.8,3.9,3.3,25.3,0.6837837837837838,0.7126760563380282
Joel Embiid,31.0,PHI,C,25.0,25.0,30.6,8.4,17.4,0.486,1.1,4.0,0.28,7.3,13.4,0.548,0.518,7.1,8.3,0.855,2.1,5.3,7.4,3.6,0.6,1.1,3.1,2.0,25.1,1.004,0.8202614379084967
Victor Wembanyama,22.0,SAS,C,31.0,22.0,28.8,8.5,16.6,0.51,1.9,4.8,0.389,6.6,11.8,0.559,0.566,5.7,6.7,0.846,2.0,8.9,10.9,2.9,0.8,2.6,2.7,2.8,24.5,0.7903225806451613,0.8506944444444444
Keyonte George,22.0,UTA,PG,45.0,45.0,34.4,7.6,16.7,0.455,2.6,6.9,0.373,5.0,9.8,0.514,0.533,6.5,7.2,0.904,0.5,3.4,3.9,6.6,1.1,0.3,3.4,2.4,24.2,0.5377777777777778,0.7034883720930233
Pascal Siakam,31.0,IND,PF,44.0,44.0,33.9,8.9,18.5,0.483,1.9,4.8,0.385,7.1,13.7,0.517,0.533,4.0,6.0,0.677,1.6,5.3,6.9,4.0,1.1,0.4,2.2,2.6,23.8,0.5409090909090909,0.7020648967551623
Norman Powell,32.0,MIA,SG,40.0,40.0,30.7,7.8,16.2,0.481,2.9,7.3,0.4,4.9,8.9,0.546,0.57,4.8,5.7,0.838,0.3,3.3,3.6,2.7,1.2,0.2,1.9,2.2,23.3,0.5825,0.758957654723127
